expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
260,0.15,310,9.75,2.664452549,-133.5210346,-130.8446449,1.902795402,1.600154764,8.443827424,7.775252776,7.134945071,6.698958202,5.983988898,3.72847121,3.526915617,missing,missing,missing,missing
263,0.15,283,9.5,2.550426547,-133.4793859,-130.4154158,1.909554888,1.603841756,8.438911433,7.762348302,7.119275352,6.682673985,5.991362883,3.730621955,3.513703894,missing,missing,missing,missing
266,0.15,298,9.5,2.624392245,-133.5050827,-130.6870177,1.906175145,1.60230551,8.441676678,7.767878791,7.127878335,6.692505965,5.987675891,3.727856711,3.514932892,missing,missing,missing,missing
269,0.15,310,9.5,2.684288955,-133.5363973,-130.9078761,1.902795402,1.600154764,8.443827424,7.770951284,7.133408824,6.698036454,5.983988898,3.726013215,3.516776388,missing,missing,missing,missing
272,0.15,283,9.25,2.532114133,-133.4770697,-130.4022905,1.909247639,1.603534507,8.438604184,7.764499047,7.1201971,6.682673985,5.991362883,3.730929205,3.521077879,missing,missing,missing,missing
275,0.15,298,9.25,2.609742314,-133.5004503,-130.6653997,1.905867896,1.60230551,8.441676678,7.770336786,7.128800083,6.692813215,5.98798314,3.729085708,3.52077063,missing,missing,missing,missing
278,0.15,310,9.25,2.673911921,-133.5294486,-130.8808535,1.902795402,1.600154764,8.443827424,7.77310203,7.134023322,6.698343704,5.983988898,3.726934963,3.521077879,missing,missing,missing,missing
281,0.15,283,9,2.512273643,-133.4646378,-130.3443063,1.909554888,1.603841757,8.438604184,7.774638277,7.123884093,6.683902983,5.991362883,3.734308948,3.549652071,missing,missing,missing,missing
284,0.15,298,9,2.588377832,-133.4792183,-130.5685046,1.905867896,1.602612759,8.441676678,7.780783264,7.132794325,6.694349462,5.98798314,3.7333872,3.545657829,missing,missing,missing,missing
287,0.15,310,9,2.647053714,-133.4977937,-130.7384062,1.902795402,1.601076512,8.443827424,7.783548509,7.138017564,6.700801699,5.984296148,3.732772701,3.543199834,missing,missing,missing,missing
290,0.15,283,8.75,2.498234126,-133.4410895,-130.2331279,1.909554888,1.604149006,8.438604184,7.793994988,7.131565327,6.685746479,5.991670133,3.740146686,3.587443745,missing,missing,missing,missing
293,0.15,298,8.75,2.567013349,-133.4425448,-130.4017369,1.905867896,1.603534508,8.441369428,7.79798923,7.139553811,6.697114706,5.988290389,3.740761185,3.576997266,missing,missing,missing,missing
296,0.15,310,8.75,2.618364266,-133.4514693,-130.5307186,1.902795402,1.60199826,8.444001997,7.798001997,7.143601997,6.704301997,5.984801997,3.740201997,3.568101997,missing,missing,missing,missing
